date,site_name,mean_do_mg_l,mean_salinity_ppt,mean_temp_c
2020-09-03,east_channel,0,0,28.5
2020-09-03,phelps_bridge,6.53,2.6,24.9
2020-09-03,venoco_bridge,0,0,25.35
2020-09-10,east_channel,0,0,21.8
2020-09-10,phelps_bridge,3.59,2.8,20.1
2020-09-10,venoco_bridge,0,0,22.5
2020-09-17,east_channel,0,0,28
2020-09-17,phelps_bridge,8.99,2.6,22.1
2020-09-17,venoco_bridge,0,0,23.15
2020-09-24,east_channel,0,0,22.6
2020-09-24,phelps_bridge,3.41,2.5,20.2
2020-09-24,venoco_bridge,0,0,22.799999999999997
2020-10-01,phelps_bridge,4.31,2.7,21.2
2020-10-09,phelps_bridge,3.165,1.25,22.2
2020-10-09,venoco_bridge,0,0,23.3
2020-10-16,east_channel,0,0,30.8
2020-10-16,phelps_bridge,9.84,2.6,21
2020-10-16,venoco_bridge,0,0,24.9
2020-10-23,phelps_bridge,7.47,2.5,19.7
2020-10-23,venoco_bridge,0,0,21.549999999999997
2020-10-30,phelps_bridge,11.68,2.1,17.3
2020-10-30,venoco_bridge,0,0,23.450000000000003
2020-11-06,phelps_bridge,6.98,2.1,19.3
2020-11-06,venoco_bridge,0,0,21
2020-11-13,phelps_bridge,6.86,2.3,14.4
2020-11-13,venoco_bridge,0,0,14.55
2020-11-20,phelps_bridge,5.72,2.3,15.6
2020-11-20,venoco_bridge,0,0,16.25
2020-11-30,phelps_bridge,9.74,2,12.9
2020-11-30,venoco_bridge,0,0,11.350000000000001
2020-12-04,phelps_bridge,12.48,2.1,12.2
2020-12-04,venoco_bridge,0,0,11.35
2020-12-11,phelps_bridge,10.66,2.1,12.1
2020-12-11,venoco_bridge,0,0,11.8
2020-12-18,phelps_bridge,7.92,2.1,11.6
2020-12-18,venoco_bridge,0,0,14.2
2020-12-27,phelps_bridge,7.58,2,13
2020-12-27,venoco_bridge,0,0,15.85
2020-12-30,east_channel,6.406666666666666,2.6333333333333333,15
2020-12-30,phelps_bridge,6.3533333333333335,1.3666666666666667,10.6
2020-12-30,venoco_bridge,3.4825,17.299999999999997,13.15
2021-01-04,east_channel,10.75,8.3,16.066666666666666
2021-01-04,phelps_bridge,4.46,7.666666666666667,15.033333333333333
2021-01-04,venoco_bridge,6.202500000000001,7.074999999999999,15.475
2021-01-08,east_channel,18.529999999999998,7.7,15.233333333333334
2021-01-08,phelps_bridge,18.12,9.2,16.25
2021-01-08,venoco_bridge,16.6325,5.75,15.725
2021-01-15,east_channel,6.43,11.1,16.333333333333332
2021-01-15,phelps_bridge,2.2649999999999997,12.100000000000001,17.5
2021-01-15,venoco_bridge,2.274,20.58,15.82
2021-01-22,east_channel,8.88,13.7,14.6
2021-01-22,phelps_bridge,1.52,14.75,17.549999999999997
2021-01-22,venoco_bridge,3.674,19,16.14
2021-01-26,venoco_bridge,9.5025,17.95,11.95
